item_id,ingredient
12297832,Soy Protein Isolate
12297832,Maltodextrin
12297832,Minerals
12297832,Emulsifier
12297832,Vitamins
12297832,Choline Chloride
12297832,Taurine
12297832,L-carnitine
12297832,Anti-Forming Agent
12297832,Milk and Soy
