,item_type,Flavours
3383,SKU#:63161p12,Strawberry Yogurt
1840,SKU#:63214,Dark Chocolate Almond
2767,SKU#:63214,Oatmeal Chocolate Chunk
2149,SKU#:63214,Double Dark Chocolate
4003,SKU#:63214,Sweet & Salty Cashew Pretzel
3385,SKU#:63214,Strawberry Yogurt
604,SKU#:63214,Chocolate Chip Cookie Dough
3694,SKU#:63214,Chocolate Caramel Cluster
1222,SKU#:63214,Chocolate Peanut Butter
1531,SKU#:63214,Cinnamon Roll
2458,SKU#:63214,Fudge Graham
3076,SKU#:63214,Salted Caramel Brownie
295,SKU#:63214,Chocolate Almond Raisin
913,SKU#:63214,Chocolate Mint
1825,SKU#:63214p12,Dark Chocolate Almond
3988,SKU#:63214p12,Sweet & Salty Cashew Pretzel
1516,SKU#:63214p12,Cinnamon Roll
1207,SKU#:63214p12,Chocolate Peanut Butter
3370,SKU#:63214p12,Strawberry Yogurt
2752,SKU#:63214p12,Oatmeal Chocolate Chunk
589,SKU#:63214p12,Chocolate Chip Cookie Dough
2443,SKU#:63214p12,Fudge Graham
898,SKU#:63214p12,Chocolate Mint
3679,SKU#:63214p12,Chocolate Caramel Cluster
3061,SKU#:63214p12,Salted Caramel Brownie
2134,SKU#:63214p12,Double Dark Chocolate
280,SKU#:63214p12,Chocolate Almond Raisin
923,SKU#:63225,Chocolate Mint
2468,SKU#:63225,Fudge Graham
305,SKU#:63225,Chocolate Almond Raisin
1850,SKU#:63225,Dark Chocolate Almond
3395,SKU#:63225,Strawberry Yogurt
1541,SKU#:63225,Cinnamon Roll
2159,SKU#:63225,Double Dark Chocolate
1232,SKU#:63225,Chocolate Peanut Butter
3704,SKU#:63225,Chocolate Caramel Cluster
2777,SKU#:63225,Oatmeal Chocolate Chunk
4013,SKU#:63225,Sweet & Salty Cashew Pretzel
614,SKU#:63225,Chocolate Chip Cookie Dough
3086,SKU#:63225,Salted Caramel Brownie
2124,SKU#:63225p12,Double Dark Chocolate
888,SKU#:63225p12,Chocolate Mint
3051,SKU#:63225p12,Salted Caramel Brownie
1815,SKU#:63225p12,Dark Chocolate Almond
2742,SKU#:63225p12,Oatmeal Chocolate Chunk
270,SKU#:63225p12,Chocolate Almond Raisin
2433,SKU#:63225p12,Fudge Graham
3978,SKU#:63225p12,Sweet & Salty Cashew Pretzel
1197,SKU#:63225p12,Chocolate Peanut Butter
3669,SKU#:63225p12,Chocolate Caramel Cluster
1506,SKU#:63225p12,Cinnamon Roll
579,SKU#:63225p12,Chocolate Chip Cookie Dough
3360,SKU#:63225p12,Strawberry Yogurt
4012,SKU#:63259,Sweet & Salty Cashew Pretzel
2158,SKU#:63259,Double Dark Chocolate
3394,SKU#:63259,Strawberry Yogurt
922,SKU#:63259,Chocolate Mint
1540,SKU#:63259,Cinnamon Roll
304,SKU#:63259,Chocolate Almond Raisin
2467,SKU#:63259,Fudge Graham
613,SKU#:63259,Chocolate Chip Cookie Dough
3703,SKU#:63259,Chocolate Caramel Cluster
1849,SKU#:63259,Dark Chocolate Almond
1231,SKU#:63259,Chocolate Peanut Butter
2776,SKU#:63259,Oatmeal Chocolate Chunk
3085,SKU#:63259,Salted Caramel Brownie
1820,SKU#:63259p12,Dark Chocolate Almond
893,SKU#:63259p12,Chocolate Mint
275,SKU#:63259p12,Chocolate Almond Raisin
584,SKU#:63259p12,Chocolate Chip Cookie Dough
1511,SKU#:63259p12,Cinnamon Roll
1202,SKU#:63259p12,Chocolate Peanut Butter
3674,SKU#:63259p12,Chocolate Caramel Cluster
3056,SKU#:63259p12,Salted Caramel Brownie
3365,SKU#:63259p12,Strawberry Yogurt
2747,SKU#:63259p12,Oatmeal Chocolate Chunk
2438,SKU#:63259p12,Fudge Graham
3983,SKU#:63259p12,Sweet & Salty Cashew Pretzel
2129,SKU#:63259p12,Double Dark Chocolate
2757,SKU#:63269,nan
1536,SKU#:63282,Cinnamon Roll
918,SKU#:63282,Chocolate Mint
300,SKU#:63282,Chocolate Almond Raisin
1227,SKU#:63282,Chocolate Peanut Butter
609,SKU#:63282,Chocolate Chip Cookie Dough
2154,SKU#:63282,Double Dark Chocolate
4008,SKU#:63282,Sweet & Salty Cashew Pretzel
3390,SKU#:63282,Strawberry Yogurt
2463,SKU#:63282,Fudge Graham
1845,SKU#:63282,Dark Chocolate Almond
3699,SKU#:63282,Chocolate Caramel Cluster
3081,SKU#:63282,Salted Caramel Brownie
2772,SKU#:63282,Oatmeal Chocolate Chunk
