,item_id,ingredient
4590, 53983e,Acesulfame Potassium
2724, 53983e,Sodium Citrate
3968, 53983e,Sucralose
1480, 53983e,Potassium Citrate
236, 53983e,Water
3346, 53983e,Natural Flavor
15602, 54598p50,Folic Acid
5650, 54598p50,Salt
2540, 54598p50,Calcium Phosphate
13114, 54598p50,Riboflavin
7516, 54598p50,Ferrous Sulfate
10626, 54598p50,Vitamin D3
3784, 54598p50,Minerals (Magnesium Chloride
14358, 54598p50,Cyanocobalamin
3162, 54598p50,Potassium Citrate Less than 2% of: Soy Lecithin
9382, 54598p50,Sodium Selenate)
16846, 54598p50,Biotin
6272, 54598p50,Potassium Phosphate
1918, 54598p50,Medium-Chain Triglycerides
52, 54598p50,Nonfat Milk
18712, 54598p50,Potassium Hydroxide
17468, 54598p50,Ascorbic Acid
1296, 54598p50,Corn Syrup Solids
10004, 54598p50,Vitamins (Vitamin A Palmitate
13736, 54598p50,Pyridoxine Hydrochloride
5028, 54598p50,Calcium Carbonate
8138, 54598p50,Cupric Sulfate
11248, 54598p50,d-Alpha-Tocopheryl Acetate
11870, 54598p50,Phylloquinone
8760, 54598p50,Manganese Sulfate
6894, 54598p50,Zinc Sulfate
674, 54598p50,Whey Protein Concentrate
16224, 54598p50,Calcium Pantothenate
14980, 54598p50,Niacinamide
4406, 54598p50,Sodium Citrate
12492, 54598p50,Thiamin Chloride Hydrochloride
18090, 54598p50,m-Inositol)
19334, 54598p50,Less than 2% of the Following:
7684, 56090p8,Malic Acid
3330, 56090p8,Sodium Citrate; Less than 2% of: Natural & Artificial Flavor
11416, 56090p8,Acesulfame Potassium
18880, 56090p8,Acesulfame Potassium)
16392, 56090p8,Sodium Citrate; Less than 2% of: Artificial Flavor
12660, 56090p8,Blue 1)
4574, 56090p8,Sucralose
2708, 56090p8,Salt
22612, 56090p8,Sodium Citrate
17636, 56090p8,Caramel Color
7062, 56090p8,Citric Acid
220, 56090p8,Fruit Punch (Anhydrous Dextrose
25100, 56090p8,Red 40
2086, 56090p8,Potassium Citrate
19502, 56090p8,Strawberry (Anhydrous Dextrose
5818, 56090p8,Red 40)
6440, 56090p8,Grape (Anhydrous Dextrose
23234, 56090p8,Natural Flavor; Less than 2% of: Calcium Silicate
25722, 56090p8,Blue 1)
3952, 56090p8,Calcium Silicate
13282, 56090p8,Apple (Anhydrous Dextrose
25549, 5743076e,Biotin
3779, 5743076e,Medium chain Triglycerides
29281, 5743076e,Cytidine 5’-Monophosphate
9377, 5743076e,Magnesium Chloride
20573, 5743076e,Copper Sulfate
1913, 5743076e,Soy Oil
10621, 5743076e,Calcium Carbonate
13731, 5743076e,Ascorbyl Palmitate
14975, 5743076e,Potassium Chloride
29903, 5743076e,Disodium Guanosine 5’-Monophosphate
21817, 5743076e,Thiamine Hydrochloride
21195, 5743076e,Vitamin A Palmitate
1291, 5743076e,Lactose
5023, 5743076e,M Alpina Oil
7511, 5743076e,Calcium Phosphate
6267, 5743076e,Lutein
19951, 5743076e,Calcium Pantothenate
4401, 5743076e,Coconut Oil Less than 2% of: C Cohnii Oil
16219, 5743076e,Zinc Sulfate
669, 5743076e,Corn Syrup Solids
6889, 5743076e,Potassium Citrate
19329, 5743076e,Potassium Phosphate
14353, 5743076e,L-Carnitine
